uid,CE_votes_3,CE_votes_num,CE_votes_mean,CE_votes_2,CE_votes_std,CE_votes_1,CE_votes_4,CE_likes_mean,CE_likes_sum,CE_likes_num,CE_likes_std,CE_dislikes_std,CE_dislikes_sum,CE_dislikes_num,CE_dislikes_mean,CE_com_num,CE_com_std,CE_com_sum,CE_com_mean,CE_comid
11_400,16,56,3.2857142857142856,12,0.8025931996695737,0,28,10.428571428571429,73.0,7.0,6.553806600166116,1.4638501094227998,8.0,7.0,1.1428571428571428,7.0,76.8505042273634,959.0,137.0,11
11_412,3,23,3.869565217391304,0,0.34435022157509093,0,20,4.5,9.0,2.0,2.1213203435596424,1.4142135623730951,2.0,2.0,1.0,2.0,12.727922061357855,54.0,27.0,11
11_420,21,22,2.9545454545454546,1,0.21320071635561044,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_432,18,137,1.562043795620438,26,0.8563028761570884,88,5,8.25,66.0,8.0,5.338539126015656,2.6958963523950885,15.0,8.0,1.875,8.0,17.074939866030903,329.0,41.125,11
11_433,8,49,3.6122448979591835,4,0.730762345391562,1,36,2.888888888888889,52.0,18.0,3.14154118956789,0.7047921864945658,8.0,18.0,0.4444444444444444,18.0,76.56105257401985,1130.0,62.77777777777778,11
11_435,8,17,2.588235294117647,2,1.0641207361838554,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_436,1,85,3.929411764705882,1,0.4020256830849792,1,82,11.5625,185.0,16.0,8.763323190053722,2.3380903889000244,32.0,16.0,2.0,16.0,140.23979463761347,2080.0,130.0,11
11_441,20,132,3.7196969696969697,7,0.5966112181643939,1,104,6.0,30.0,5.0,2.1213203435596424,0.8944271909999159,3.0,5.0,0.6,5.0,91.63405480496866,342.0,68.4,11
11_444,12,71,3.8028169014084505,1,0.4348963196592016,0,58,10.0,20.0,2.0,1.4142135623730951,0.0,0.0,2.0,0.0,2.0,96.16652224137046,180.0,90.0,11
11_445,2,41,3.8780487804878048,0,0.5096627292249016,1,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_449,4,60,3.8333333333333335,3,0.4928872620664336,0,53,15.333333333333334,46.0,3.0,10.598742063723098,3.2145502536643185,10.0,3.0,3.3333333333333335,3.0,257.0998509010329,749.0,249.66666666666666,11
11_453,0,17,3.8823529411764706,1,0.48507125007266616,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_465,11,30,3.3,5,0.7497125886079554,0,14,3.1,31.0,10.0,3.1073389830457114,0.9660917830792959,4.0,10.0,0.4,10.0,18.890326742659706,332.0,33.2,11
11_469,28,30,2.933333333333333,2,0.2537081317024624,0,0,0.5,1.0,2.0,0.7071067811865476,2.1213203435596424,5.0,2.0,2.5,2.0,7.0710678118654755,26.0,13.0,11
11_478,22,28,3.142857142857143,1,0.4483951394230327,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_485,0,9,4.0,0,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_491,3,31,3.774193548387097,2,0.5603378397214094,0,26,6.357142857142857,89.0,14.0,5.7860195279675635,2.3766261061327354,22.0,14.0,1.5714285714285714,14.0,131.3934825352736,1349.0,96.35714285714286,11
11_492,5,29,3.8275862068965516,0,0.3844258722192448,0,24,3.8,19.0,5.0,4.658325879540846,1.224744871391589,5.0,5.0,1.0,5.0,12.696456198483103,114.0,22.8,11
11_58,104,107,3.02803738317757,0,0.1658564920279114,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_59,3,110,3.9727272727272727,0,0.1636224625732931,0,107,4.4,44.0,10.0,3.062315754094894,0.0,0.0,10.0,0.0,10.0,12.314851016376753,531.0,53.1,11
11_69,38,211,3.639810426540284,4,0.7452247740720735,10,159,9.5,38.0,4.0,4.795831523312719,0.9574271077563381,3.0,4.0,0.75,4.0,119.63381628954248,665.0,166.25,11
11_7,1,38,3.763157894736842,4,0.6339157811876046,0,33,5.166666666666667,62.0,12.0,4.58918359412718,2.6571800956288345,26.0,12.0,2.1666666666666665,12.0,43.75370114214755,855.0,71.25,11
11_74,2,171,3.91812865497076,0,0.4656039794755568,4,165,0.3333333333333333,1.0,3.0,0.5773502691896258,0.0,0.0,3.0,0.0,3.0,23.459184413217212,68.0,22.666666666666668,11
11_79,0,159,4.0,0,0.0,0,159,10.05,201.0,20.0,10.470384298984495,2.2213082915965963,25.0,20.0,1.25,20.0,358.5949885169531,4641.0,232.05,11
11_89,43,116,2.9827586206896552,27,0.9039311114641774,7,39,15.857142857142858,111.0,7.0,10.792413561210045,3.8234863173611098,25.0,7.0,3.5714285714285716,7.0,75.06092763310922,741.0,105.85714285714286,11
11_91,16,43,3.255813953488372,5,0.8477708376288952,2,20,6.222222222222222,56.0,9.0,5.286250509051236,0.44095855184409843,2.0,9.0,0.2222222222222222,9.0,100.45272519946883,891.0,99.0,11
11_92,27,51,3.0,9,0.7745966692414834,2,13,4.0,8.0,2.0,4.242640687119285,0.7071067811865476,1.0,2.0,0.5,2.0,22.627416997969522,54.0,27.0,11
11_93,170,230,2.869565217391304,39,0.5452732839993206,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_95,16,50,3.3,2,0.952976004580453,5,27,5.363636363636363,118.0,22.0,4.337493840209207,0.8540709744729824,13.0,22.0,0.5909090909090909,22.0,73.32622948669821,1858.0,84.45454545454545,11
