,E_votes_2,E_votes_num,E_votes_3,E_votes_1,E_votes_mean,E_votes_4,E_votes_std,E_likes_num,E_likes_mean,E_likes_std,E_likes_sum,E_dislikes_num,E_dislikes_std,E_dislikes_sum,E_dislikes_mean,E_com_std,E_com_num,E_com_mean,E_com_sum,E_companyAlias,E_employee,E_first_date,E_lastParticipationDate,E_stillExists,E_churn,E_comp_short,E_uid
50,0,56,45,0,3.1964285714285716,11,0.4008918628686366,11.0,4.636363636363637,6.004543734085502,51.0,11.0,5.356389557426632,21.0,1.9090909090909092,47.382006557917585,11,53.36363636363637,587,54e52607e4b01191dc064966,80,2015-07-13 00:00:00,2017-03-20 00:00:00,True,0,4,4_80
51,13,196,115,9,3.142857142857143,59,0.7302967433402209,4.0,7.25,4.856267428111155,29.0,4.0,0.9574271077563381,3.0,0.75,57.59267893288752,4,68.75,275,54e52607e4b01191dc064966,82,2015-03-04 00:00:00,2017-03-20 06:28:51,True,0,4,4_82
52,54,149,68,3,2.7583892617449663,24,0.7411733458055274,67.0,7.507462686567164,7.091123632654179,503.0,67.0,1.3386371219222002,74.0,1.1044776119402986,138.49210562254015,67,128.23880597014926,8592,54e52607e4b01191dc064966,85,2015-02-25 00:00:00,2017-03-20 11:53:20,True,0,4,4_85
53,22,115,32,5,3.208695652173913,56,0.903168420635687,32.0,9.625,6.4495561237614165,308.0,32.0,2.1402441826320477,40.0,1.25,67.6775368341334,32,88.40625,2829,54e52607e4b01191dc064966,86,2015-02-25 00:00:00,2017-03-19 00:00:00,True,0,4,4_86
54,49,201,67,75,2.0597014925373136,10,0.9520598250360972,27.0,9.0,6.770978795281658,243.0,27.0,1.0127393670836669,12.0,0.4444444444444444,75.1919670498911,27,111.70370370370371,3016,54e52607e4b01191dc064966,88,2015-02-26 00:00:00,2017-03-20 11:53:20,True,0,4,4_88
55,10,81,44,5,3.0246913580246915,22,0.8058428606430549,4.0,4.25,2.753785273643051,17.0,4.0,2.160246899469287,12.0,3.0,27.944886234634534,4,53.25,213,54e52607e4b01191dc064966,90,2015-02-27 00:00:00,2017-03-19 00:00:00,True,0,4,4_90
56,6,50,33,0,3.1,11,0.5802884574739972,5.0,2.8,2.6832815729997477,14.0,5.0,0.8944271909999159,3.0,0.6,13.48332303254654,5,19.4,97,54e52607e4b01191dc064966,92,2016-09-05 00:00:00,2017-03-20 00:00:00,True,0,4,4_92
57,1,37,26,0,3.2432432432432434,10,0.4947168328900329,1.0,10.0,,10.0,1.0,,2.0,2.0,,1,119.0,119,54e52607e4b01191dc064966,93,2015-09-24 00:00:00,2017-03-16 07:32:27,True,0,4,4_93
58,32,153,86,30,2.4313725490196076,5,0.8410887828031443,4.0,4.5,4.725815626252608,18.0,4.0,1.0,2.0,0.5,41.32392366011082,4,39.5,158,54e52607e4b01191dc064966,98,2015-03-06 00:00:00,2017-03-20 00:00:00,True,0,4,4_98
59,5,606,5,0,3.9752475247524752,596,0.20176376363504223,27.0,6.296296296296297,6.081591484616094,170.0,27.0,2.15099526423947,37.0,1.3703703703703705,111.86531635341224,27,103.81481481481481,2803,54e52607e4b01191dc064966,101,2015-02-25 00:00:00,2017-03-20 11:53:20,True,0,4,4_101
60,22,51,22,6,2.3529411764705883,1,0.7161991178929143,6.0,14.5,5.683308895353129,87.0,6.0,0.0,0.0,0.0,35.545276291888165,6,65.66666666666667,394,54e52607e4b01191dc064966,103,2015-03-12 00:00:00,2017-03-20 00:00:00,True,0,4,4_103
61,13,382,32,45,3.494764397905759,292,1.0136723196588453,172.0,8.575581395348838,5.816902896656048,1475.0,172.0,3.3684805516300975,396.0,2.302325581395349,326.0428782941472,172,201.11046511627907,34591,54e52607e4b01191dc064966,110,2015-02-24 00:00:00,2017-03-20 17:02:49,True,0,4,4_110
62,194,475,65,207,1.7389473684210526,9,0.7625593615742292,131.0,10.129770992366412,6.8437472265563875,1327.0,131.0,2.2573426871094244,203.0,1.549618320610687,144.2613929673521,131,141.793893129771,18575,54e52607e4b01191dc064966,112,2015-02-26 00:00:00,2017-03-20 00:00:00,True,0,4,4_112
63,2,448,4,439,1.0424107142857142,3,0.31443353572109123,46.0,14.869565217391305,7.016199337254938,684.0,46.0,1.3383961849266033,54.0,1.173913043478261,190.81794571212927,46,220.02173913043478,10121,54e52607e4b01191dc064966,117,2015-02-24 00:00:00,2017-03-20 00:00:00,True,0,4,4_117
64,2,411,26,0,3.927007299270073,383,0.2785424562729884,1.0,0.0,,0.0,1.0,,5.0,5.0,,1,1.0,1,54e52607e4b01191dc064966,129,2015-02-26 00:00:00,2017-03-20 00:00:00,True,0,4,4_129
65,75,194,66,44,2.2061855670103094,9,0.8448336664312601,18.0,10.88888888888889,4.3506441563478155,196.0,18.0,1.3719886811400708,24.0,1.3333333333333333,168.73841766109828,18,209.77777777777777,3776,54e52607e4b01191dc064966,130,2015-03-17 00:00:00,2017-03-20 00:00:00,True,0,4,4_130
66,110,311,97,99,2.0257234726688105,5,0.8343322851212475,74.0,6.675675675675675,6.30091993307024,494.0,74.0,1.6919895336575421,73.0,0.9864864864864865,171.6723139487763,74,147.01351351351352,10879,54e52607e4b01191dc064966,132,2015-02-24 00:00:00,2017-02-09 00:00:00,True,0,4,4_132
67,89,172,61,13,2.383720930232558,9,0.7036846158782296,3.0,12.666666666666666,8.504900548115382,38.0,3.0,1.1547005383792517,4.0,1.3333333333333333,71.00938905055679,3,67.66666666666667,203,54e52607e4b01191dc064966,141,2015-02-24 00:00:00,2017-02-06 00:00:00,True,0,4,4_141
68,72,380,24,259,1.513157894736842,25,0.8791549830594723,4.0,9.25,8.99536917900909,37.0,4.0,0.5,1.0,0.25,111.16804097101529,4,94.5,378,54e52607e4b01191dc064966,143,2015-02-24 00:00:00,2017-01-02 00:00:00,False,1,4,4_143
69,28,455,279,95,2.6373626373626373,53,0.9400122259548334,206.0,8.616504854368932,5.830409718061336,1775.0,206.0,2.6977200712381255,497.0,2.412621359223301,82.24784138639251,205,98.75121951219512,20244,54e52607e4b01191dc064966,146,2015-02-26 00:00:00,2017-01-31 12:56:38,False,1,4,4_146
70,20,284,63,63,2.971830985915493,138,1.2033149852243397,71.0,9.732394366197184,7.107255340201653,691.0,71.0,1.482968364809634,69.0,0.971830985915493,100.08137534097365,71,113.47887323943662,8057,54e52607e4b01191dc064966,147,2015-03-17 00:00:00,2017-03-20 00:00:00,True,0,4,4_147
71,88,387,99,10,3.2118863049095605,190,0.8825089689652931,1.0,3.0,,3.0,1.0,,5.0,5.0,,1,20.0,20,54e52607e4b01191dc064966,148,2015-05-05 00:00:00,2017-03-06 00:00:00,False,1,4,4_148
72,69,150,31,47,1.9333333333333333,3,0.7743078023027632,23.0,7.869565217391305,7.213020725340372,181.0,23.0,2.66213382866811,41.0,1.7826086956521738,105.9856057047408,23,107.69565217391305,2477,54e52607e4b01191dc064966,149,2015-02-25 00:00:00,2017-03-13 06:43:59,True,0,4,4_149
73,10,55,39,5,2.6545454545454548,1,0.6726999721460173,14.0,4.142857142857143,3.084879822048748,58.0,14.0,0.46880723093849547,4.0,0.2857142857142857,104.54643008709597,14,84.57142857142857,1184,54e52607e4b01191dc064966,151,2015-07-08 00:00:00,2017-02-06 00:00:00,True,0,4,4_151
74,9,239,209,5,2.98744769874477,16,0.4346463021439061,5.0,2.6,4.159326868617085,13.0,5.0,1.7320508075688772,5.0,1.0,32.62207841324645,5,20.2,101,54e52607e4b01191dc064966,153,2015-02-24 00:00:00,2017-03-15 00:00:00,True,0,4,4_153
75,13,427,73,19,3.6346604215456675,322,0.7490322798429812,2.0,8.5,2.1213203435596424,17.0,2.0,0.0,0.0,0.0,106.06601717798213,2,100.0,200,54e52607e4b01191dc064966,156,2015-03-17 00:00:00,2017-03-17 00:00:00,True,0,4,4_156
76,11,102,15,70,1.5784313725490196,6,0.9485400403329989,49.0,6.591836734693878,5.526143800709718,323.0,49.0,1.7005901336656901,52.0,1.0612244897959184,79.02623240521635,49,82.9795918367347,4066,54e52607e4b01191dc064966,157,2015-02-24 00:00:00,2017-03-20 11:53:20,True,0,4,4_157
77,14,25,4,7,1.88,0,0.6658328118479394,4.0,13.5,13.076696830622021,54.0,4.0,7.724420150837645,18.0,4.5,218.43458212166558,4,151.5,606,54e52607e4b01191dc064966,158,2015-02-26 00:00:00,2017-01-25 10:13:10,True,0,4,4_158
78,21,47,18,5,2.404255319148936,3,0.7706455359571327,10.0,8.1,5.6656861896861175,81.0,10.0,0.31622776601683794,1.0,0.1,114.23080923191334,10,183.7,1837,54e52607e4b01191dc064966,162,2015-04-30 00:00:00,2017-03-20 00:00:00,True,0,4,4_162
79,50,231,113,34,2.6363636363636362,34,0.9075876899891063,182.0,10.065934065934066,6.560053560289023,1832.0,182.0,2.851153335852868,268.0,1.4725274725274726,49.67736474765453,182,70.28571428571429,12792,54e52607e4b01191dc064966,165,2015-02-24 00:00:00,2017-03-20 09:41:33,True,0,4,4_165
80,7,26,18,1,2.6538461538461537,0,0.5615911461059685,7.0,4.857142857142857,8.532849688675162,34.0,7.0,1.864454471471609,6.0,0.8571428571428571,24.52209887699936,7,46.0,322,54e52607e4b01191dc064966,171,2015-02-24 00:00:00,2017-03-02 00:00:00,True,0,4,4_171
81,0,214,0,213,1.014018691588785,1,0.2050757781073979,12.0,12.916666666666666,8.061787906067998,155.0,12.0,2.7122058561364044,23.0,1.9166666666666667,63.2514821960719,12,81.75,981,54e52607e4b01191dc064966,173,2015-06-03 00:00:00,2017-01-25 00:00:00,True,0,4,4_173
82,91,374,207,54,2.5267379679144386,22,0.8108391382381634,8.0,11.5,10.071175275436895,92.0,8.0,1.6903085094570331,8.0,1.0,62.54541207337731,8,81.25,650,54e52607e4b01191dc064966,174,2015-05-15 00:00:00,2017-03-20 00:00:00,True,0,4,4_174
83,41,335,164,7,3.2029850746268655,123,0.7304272700156771,3.0,14.666666666666666,11.930353445448855,44.0,3.0,0.5773502691896258,1.0,0.3333333333333333,171.14029332684925,3,201.0,603,54e52607e4b01191dc064966,177,2015-02-24 00:00:00,2017-03-20 00:00:00,True,0,4,4_177
84,27,186,146,5,2.8440860215053765,8,0.5223568968583046,40.0,13.975,8.59483297372054,559.0,40.0,1.7089507952287046,38.0,0.95,108.28831115745285,40,192.275,7691,54e52607e4b01191dc064966,181,2015-02-26 00:00:00,2017-03-15 11:15:43,True,0,4,4_181
85,3,22,18,0,2.909090909090909,1,0.426401432711221,4.0,12.5,13.228756555322953,50.0,4.0,0.0,0.0,0.0,248.00873640525919,4,267.5,1070,54e52607e4b01191dc064966,185,2015-02-25 00:00:00,2017-01-26 08:15:31,True,0,4,4_185
86,33,423,67,37,3.4231678486997636,286,0.9628809396740313,118.0,6.4576271186440675,5.708958424014097,762.0,118.0,2.25936651981009,100.0,0.847457627118644,66.71527780086761,118,78.16949152542372,9224,54e52607e4b01191dc064966,194,2015-03-05 00:00:00,2017-03-18 00:00:00,True,0,4,4_194
87,6,25,16,2,2.64,1,0.7000000000000001,2.0,12.0,0.0,24.0,2.0,0.7071067811865476,7.0,3.5,13.435028842544403,2,143.5,287,54e52607e4b01191dc064966,196,2016-09-05 00:00:00,2017-03-14 09:27:46,True,0,4,4_196
88,25,74,32,3,2.77027027027027,14,0.8032007425311959,2.0,3.5,3.5355339059327378,7.0,2.0,5.656854249492381,8.0,4.0,16.97056274847714,2,96.0,192,54e52607e4b01191dc064966,198,2015-03-19 00:00:00,2017-03-20 00:00:00,True,0,4,4_198
89,15,49,29,3,2.6122448979591835,2,0.6713272466605563,7.0,7.285714285714286,4.347960660443228,51.0,7.0,0.0,0.0,0.0,99.18909310239806,7,120.14285714285714,841,54e52607e4b01191dc064966,201,2015-02-27 00:00:00,2017-03-15 00:00:00,True,0,4,4_201
